text,hate speech
#esdemexicanos que te digan güero aunque seas mas negro que la noche,0
"Ah vaina, ¿ahora no puedo criticar porque soy inmigrante? Dios mío ¿por que hay gente así?  :unamused_face:  :unamused_face:  ",0
Immigration ? Invasion ? Entrada masiva de INMIGRANTES subsaharianos a CEUTA | España  via  information passée sous silence par les médias belges #desinformation,0
De esto que estás escribiendo y te preguntas lo callada que está la perra. Miras hacia atrás y te encuentras esto. ,0
En ese listado deben estar de segundo los árabes y chinos que nos tienen jodidos. Vienen de sus países con una mano delante y una atrás y consiguen préstamos gigantescos para sus negocios y para maltratar al venezolano. Acá en margarita se ve mucho esa vaina ,1
Querida tú eres una puta sin llenadero.. que dicen tus hijos de tu nuevo amor? Sigues siendo su ejemplo  :rolling_on_the_floor_laughing:  :rolling_on_the_floor_laughing:  :rolling_on_the_floor_laughing: ,1
Guyana recibirá $30 mil de Unicef para atender a refugiados venezolanos -   ,0
Cómo cuando estás bien prietita y te dicen güera jajaja,0
 tu eres la perra mas perra de las perras,1
Inmigrantes intentan fugarse de Ceuta escondidos en un ferry  vía,0
" Maldito hijo de perra... no sé por que no se fue por una puta letrina en su pueblo y se ahogó en mierda, como lo merecia.",0
 Ya callate pinche puta y celebra la navidad hija de perra,1
A ver quién paga la factura y cómo se reparten el marrón de dejar inmigrantes ilegales sueltos por sus ciudades (y que los votantes no de lo hagan pagar dentro de un año)... ,1
"- El tiempo no existe. La división espacio-temporal es una invención del hombre, por lo tanto,.. - Cállate, hijo(a) de puta.",0
 Ahora que me has faltado el respeto te lo puedo decir por fin: ¡A fregar puta!,1
Me mandan esta mierda. Cultura de la violación en sus mejores pantallas. ESCORIA. Se puede hacer algo  ? ,0
   Pero el escenario que describe no es de acoso. Es de violación y asesinos,0
"La Conferencia Sectorial de Inmigración y Emigración se reúne dentro de una hora por primera vez desde 2015. En lo que va de año, han llegado en patera a las costas de la región 145 ciudadanos argelinos.",0
"  Callate Ivan el Tonto, No hay pruebas !!! Donde estabas hijo de perra cuando gente como bucaram, Lasso , baqueros, y oportunistas se comieron al Ecuador y se repartian en pedazos, cuando no habia ni carreteras ni hospitales, ni me",0
"- Final Champions League - Libertadores y Sudaca - Tour, Giro y vuelta  - Wimbledon  - Super Bowl ",0
 Tu eres una puta sentenciada y estas con concha en el congreso. Mentiste en tu cv y a las justas terminaste primaria. No te hagas la santa hipocrita de cuarta,1
  ¿Distingues entre una violación o entre un acoso laboral? o lo metes todo en el mismo pack?. Cuando te meten mano o te proponen en el trabajo no te ponen una navaja en el cuello. Tú eliges si es conveniente o no y de esa elección corre,0
     Coño que callados estáis  :face_with_tears_of_joy:  :face_with_tears_of_joy:  :face_with_tears_of_joy:  :face_with_tears_of_joy:  :face_with_tears_of_joy: ,0
alguien me puede avisar donde consigo un teclado en arabe-,0
"Jajajajajajjajajajajajajjaa ay Dios la mujer es maldad me voy de aqui, que puta pavera.",1
 cállate puta! Aprende a hablar y blanqueate el hocico. #ExatlonMx,1
"Mercedes y Vodafone se lían en la polémica del futbolista Özil sobre el racismo en Alemania: “Soy alemán cuando ganamos, pero un inmigrante cuando perdemos”  vía ",0
Calmados no se amontonen!!!pinches nacos frijoleros pikense el culo  :middle_finger:  :medium_skin_tone:  :expressionless_face:  ,1
 Cuando te conozca te pego un chicle en la cara a ver si te ves algún día bien,0
  #ChiringuitoKepa tu eres gilipollas roncero!! Donde está vuestra puta factoría?,0
"Como me matas cuando te mueves así de lento, siento todo el recorrido y la presión de tu coño alrededor de mi polla, acaricias mi pecho, sientes mi respiración agitada, me voy a correr nena ",0
"La moronegrada está hundiendo el país a base d ser cobradores netos d pensiones, teroristas, robar, violar, traficar, petar el sistema penitenciario,educativo,judicial y sanitario...pero lo q importa es 1 negro q dice ser ingeniero  #NosTomanPorImbéciles  ",1
-¿Porque la esatua de la libertad es mujer? -Porque se nescesitaba una cabeza hueca para hacer un mirador,1
Comemela XDDD y la cara también!!  :rolling_on_the_floor_laughing:  :rolling_on_the_floor_laughing:  :rolling_on_the_floor_laughing:  :rolling_on_the_floor_laughing:  :rolling_on_the_floor_laughing:  — No nos pasemos  :eyes:  ,1
  cállate perra de mierda culona,1
Lo peor es que luego los lees y estos simios deformados insinúan que la mujer es malvada y una zorra muajajajaja en el fondo siento lastima por estos seres,0
 Jajajaja vos cállate puta.,1
  Callate bobo hijo de puta bestia humana lacra asquerosa izquierdistas rateros mal paridos,0
"Eso, incompatible con ser moromierda, o musulmono. ",1
Este güero anotando para mi pick de +375. Viva Dinamarca carajo ,0
"no entiendo eso de enseñarle la polla a cualquiera de verdad, no le encuentro el sentido",0
Me obligan a tragar polla y me mean en la cara  :face_with_open_mouth:  ,0
   LO MAS SATURADO ES VER MI POLLA EN TU CULO AGUJEREADO :face_with_tears_of_joy:  :face_with_tears_of_joy:  :face_with_tears_of_joy: ,0
"  Si, estoy de acuerdo. A ningún hombre le pasaría por la cabeza que una mujer es puta por subir fotos semi desnuda. Libertad y respeto.",0
" Lo peor de todo es que tú eres parte de la culpa de la destrucción de Venezuela hijo de la grandísima PUTA, y encima sigues siendo chavista MALPARIDO. ahora no se valen arrepentimientos tienen 18 años llevando PALO y pasando roncha y es ahorita e",0
Bronceado 2018 goals he ido al kebap y me han hablado en árabe.   :check_mark:  misión cumplida,0
"la sacaron justo a l dia siguiente del documental,por cierto excelente ,destapa la cruda realidad del inmigrante y de los q quedamos en Vzla.Madurocdtm ",0
"Justificó la violencia a los diputados diciendo que ellos fueron a provocar, podes ser tan hijo de puta marcos peña?",0
 CALLATE PERRA LOCA CON METERTE CON LOUIS YA ES MUCHO . TE METES CON BARDERAS,1
Yo no te discuto como sacar una muela así que cállate la puta madre,0
"¿para que se inventó el alcohol? para que las feas, gordas y canis perdieran la virginidad.",1
"Hay mujers inteligentes, si. Son hombres que se han operado de cambio de sexo. Al revés no.",1
"y a los latinos nos dicen sudacas, conquistados, e incivilizados, ¿qué cosas, no?  :eyes:  (no todos) ",1
Me voy a pintar el pelo güero para que Alfredo me quiera,0
Los inmigrantes muestran su cara más violenta con peleas en plena calle — El Pueblo de Ceuta ,1
"Ayer me estaba muriendo de una perra infección en la garganta y hoy me la peló, ya estoy mejor.  :smiling_face_with_sunglasses: ",0
" Y tu eres la amiga perra que me lo va mamar a espaldas de ella, estupida",1
JODER ME CAGO EN LA PUTA QUE ROBO RAOUL SE LO MERECÍA JODER #OTGala8,0
"Se lo ha ganado a pulso, y ha sido muy comedido. Ese musulmono o se lo piensa la próxima vez. O le dan otra mayor. ",1
Así que tú eres el hijo de puta que se está comiendo todos los ñus... Vente que vamos a hablar ,0
#Repost  with get_repost ・・・  :water_wave:  :woman_dancing:  :medium_skin_tone:  besos de mezcal pa’ el Güero. ¡feliz viernes! ,0
" JAJAJAJAJAJA El multitasking es lo de hoy: Perra en Instagram, emo en Twitter, ridículas por Facebook y divas en WhatsApp, todo a la misma vez y sin mezclar historias.",1
   Callate la puta boca resentido y la proxima ves busquen vaselina porque no queremos hijo,0
1. el desnudo siempre ha formado parte del arte 2. el arte es super relativo 3. callate la boca de una puta vez ,0
Si maltratas a un animal sos un hijo de puta y te merecés vivir de la peor manera,0
 Lastima.... callate zorra!!!!!!! :angry_face:  :angry_face:  :angry_face:  :pile_of_poo:  :pile_of_poo:  :pile_of_poo:  :pile_of_poo:  :pile_of_poo:  :pile_of_poo: ,1
 Merecias ser ahogado hijo de perra pero mildis,0
Antonio Adán: Mi novia es sevillista y es una puta mas | Sevilla 3 Real ...  vía ,1
" Siempre te hago el aguante callate, mña si perra",1
"Los procesos administrativos tienen que ser rápidos para menores inmigrantes refugiades, ya que el futuro de eses menores está en juego. El día de mañana si quieren trabajar, seguirán sin esos papeles, los hombres terminarán en trabajos irregulares y las mujeres en prostitución.",0
"Buenos dias, a trabajar en la fabrica para pagar a los refugiados y demas... gracias Sánchez por ser tan hijo de puta.",1
"Mirna, para algunas feministas celebrarle un vestido a una mujer es acoso, ojo ahí #pautab  ",0
" ... habemos muchos hombres en contra del acoso; eso sí, no todos lo expresamos desde el prejuicio sexista. Su respuesta se ganará aplausos y likes de los bienpensantes 'pero en ciertos pasajes no representa más que el extremo opuesto de la desastrosa columna de Caballero.'",0
-Mujer: Bésame una vez y te pertenecere para siempre? -Hombre: Ostia! Gracias por la advertencia!,1
  Ay cállate perra.,1
"Llamar “mala puta” a una mujer es denominado “poema satírico”... Siento verdadero asco, de oír, leer y ver este tipo de ataques a diario a  en los medios pro_independentistas. Necesitamos más que nunca #ahorasicambio  ",0
"Eso demuestra que no son “refugiados” de países en guerra, sino económicos, lo q es humano, hasta q te das cuenta q si empiezan con mentiras, seguramente lo q busca es invadir no convivir! ",1
 12 años jugando a la Play le enseñaron bastante. Que hijo de remil puta!!!!!!,0
"Llevamos ya 3 casos asilados de violencia de inmigrantes en la zona de Barcelona en una semana. ¿A partir de cuantos casos, dejan de considerarse """"aislados""""?",1
"Apartas el tanga a un lado, posas mi polla en tu coño y te dejas caer despacio metiéndola entera, que placer me da sentir como aprieta tu coño durante todo el recorrido, baja nena ",0
 Callate perra yo hago lo que quiero,1
me acaban aqui de enseñar al niño polla o deberia decir PRINGADO DE LA VIDA Q LO UNICO Q HA HECHO EN SU VIDA (indirectamente) ES TENER UNA POLLA GRANDE.... QUE. PUTO. ASCAZO. NIÑO.,0
" y  tienen razón, los inmigrantes vienen a imponernos sus costumbres ",1
"Yo creía que ese jueguito solo existía para los árabes, jajaja. ",0
" Tú eres mi perra, ¿yo qué culpa?",1
acabo de ver a una señora igualita a lupita d’alessio y dije fue como OMFG IS DAT LA LEONA DORMIDA O NOMAS OTRA SEÑORA GÜERA,0
" JAJJAJAJ cállate perra , me lo dijo por otra cosa no x eso",1
"EL ORGULLO QUE SIENTO :medium-light_skin_tone: ES INMENSO, SOS ÚNICO :blue_heart:  Te lo re mereces porque sos un actorazo de la puta madre ",0
"AMIGOS CON TODO EL RESPETO Y CON MAS HUMOR, LES COMPARTO ESTA PUBLICIDAD DE TACOS ÁRABES Y MAS, UBICADO EN CAMINO VIEJO A LA VENTOSA, DONDE ENCONTRARA: TACOS ÁRABES TACOS ORIENTALES, TACOS DE BISTEC QUESADILLAS TLAYUDAS &lt;3 &lt;3 &lt;3 NO DEJE DE PROBARLOS.... ",0
La policía británica permitió la violación de 1.000 niñas pobres por parte de árabes  via ,1
" Vete a tomar por culo gilipollas, tu Felipe tendrías q estar en la puta mina y cállate la boca!! Que no tienes ni idea aquí en España sigue estando la misma puta dictadura solamente que adornada con consumismo.",0
" eres una basura de persona, lo cual no me sorprende porque eres SUDACA, y asi son los tercermundistas",1
Callate por zorra le dice Damián jajajaja,1
"Teñida del orto me dice el cara de artesanía prehispánica. Seguís siendo sudaca amigo, por algo no podes irte a tu alemania natal. ",1
"En Ceuta hay una montaña que simboliza todo lo que ocurre a ambos lados de la valla PERFILADA en la roca, con el busto... ",0
 Hoy toda esta escoria está callada me gustaría oírlos hablar #HDPasesinos,0
"-¿Aquí es la oficina de atención contra el racismo? -Claro que sí, pásele pinche indio prieto sarrapastrozo ahorita lo atendemos, primero que pase el güero.",1
 el simio fuenlabreño al cual tengo que ver más a menudo. Eres un tío de puta madre y te mereces lo mejor del mundo. Espero que en 2018 te vaya todo de lujo y empieces por la puerta grande.,0
 CALLATE QUE MAÑANA NOS VEMOS PERRA,1
" Y lo que no es la voz, ¿Eh? ¡Movimiento SEMEN!",0
"Me pone mal verte mal, pero no por mi, sino por vos, LA PUTA MADRE TE mereces el cielo no te quedes en una nube sola.",0
600 manteros saltaron la valla en Ceuta el otro día. ,0
"Pedimos picada árabe? 3 palabras, 1 corazón feliz",0
 Que te calles ya pesao... ACEPTALO DE UNA PUTA VEZ Y dejalo ya en el pasado pide disculpas y ya conbio,0
 Lucas callate que no lees dm nunca la puta que te pario ahre,0
Cómo me atraen las güeras  :drooling_face: ,0
pero callate puta no nos vemos hace meses y ahora que me voy me querés ver ME CAES MAL AGUSTINA ,1
  Tu eres el gilipollas que no has tocado un libro de historia en tu puta vida y vas de listo sin saber de lo que hablas,0
¿Esto podría explicar el brutismo caribeño y el subsahariano? ¿Habrá correlación?  Extreme heat linked with reduced cognitive performance among young adults in non-air-conditioned buildings: ,1
Me encantaria darte unas nalgadas ricas  :red_heart:  — A mí me encantaría pegarte una hostia en la cara ,0
Porque las mujeres ven las peliculas porno enteras? -Porque se creen que al final se van a casar o algo.,1
"Porque andan llamando gata, zorra o puta a baekhyun si es hombre, manga de ridiculas",0
"es una chinguita hacer tamales', refunfuña mi sirvienta la diódora. 'cállate o te van a salir agrios', le digo... bueno, para qué les cuento a ustedes fresitas que fueron a la universidad, qué van a saber de hacer tamales  :face_with_tears_of_joy: ",0
"Esa gente insultando y condenando al asesino de Diana Quer pero que luego le quitan importancia al acoso, violación y maltrato a la mujer...",0
"  Coño hay una GRAN cantidad de vídeos porno amateur y son bastante buscados la verdad, porque son chicas 'normales', la gente se imagina su vecina, su amiga, etc. Bueno, pero ¿que tiene que ver? Habláis del porno como tal no de sus cir",0
" No nos confundamos, muchas mujeres posan de victimas de acoso solo con una mirada, ridículas; ¿estas se habrán comparado con lo que sufrieron las guerrilleras en las Farc por ejemplo?",1
Venga si comemela xddd,0
 Cállate puta Katy Perri de los xiniyos (y nunca mejor dicho),1
Ingles y árabe ,0
 JAJAJAJAJAJA callate Mica zorra,1
"   Uno mas imbécil dirás,hasta la polla ya estaba la gente con las payasadas de Alves y neymar...",0
"Si Dios maldijo a Eva porque se comió una manzana, imagínense lo que va a hacer cuando se entere de que andan de """"borrachas"""" y de """"putas"""" todos los fines de semana.  LAMENTABLE.",0
" como estáis tan evolucionados culturalmente le recordais a cualquiera cuales son las normas cívicas. Españoles, negros y árabes sin excepcion, yo no he visto españoles poniendo pies en asientos. Negros y árabes bastantes.",1
"QUE NO SON NI LAS OCHO DE LA MAÑANA, CALLATE Y ECHATE A DORMIR EN VEZ DE HABLAR DE LA PUTA ESPICHA.",0
" y  están deseosos de ayudar a los moromierdas que llegan en oleadas a violar todas las mujeres y niños que puedan. Y oye, si se legaliza mejor, ¿eh   ? EL PROBLEMA ES QUE ESTO NUNCA LES PASA A SUS HIJOS Y NIETOS. LASTIMA! ",1
"El Director General de la Guardia Civil recorrerá esta tarde la valla que fue asaltada en Ceuta. ¡¡¡ A BUENAS HORAS, MANGAS VERDES !!!",0
 Tu eres zorra amiga jajajajajajajaja,0
ODIAME ERO AL MIRARTE A UN ESPEJO RECUERDA YO SOY AGIL Y ATRACTIVA TU ERES UNA PUTA CERDA :beaming_face_with_smiling_eyes:  :beaming_face_with_smiling_eyes:  :beaming_face_with_smiling_eyes: ,1
    Y estos son los hijos de puta que van a luchar contra la violencia que ejercen contra las mujeres. Es que no me troncho porque NO TIENE NI PUTA GRACIA  :pouting_face:  :pouting_face:  :pouting_face: ,0
" Si yo soy nazi, tu eres un hijo de puta",0
"Lo malo del tema de acosos sexual que se da en TODOS lados… es simple… abuso físico, violación o coacción son un delito… PERO!!! El coqueteo insistente o torpe no lo es, ni es la caballerosidad una agresión machista… Pero la exageración sensacionalista es lo de hoy ¿no?",0
"ICE le da gran prioridad a la lucha contra la inmigración ilegal, incluyendo la búsqueda de extranjeros #indocumentados con antecedentes penales que presentan una amenaza para la seguridad pública  ",0
"Queria charlar de algo, yo soy feminista, siempre que una victima habla de algun abuso, acoso o violacion que sufrio no le cues... — es complicado porque me esta pasando lo mismo con mi viejo, la ex lo esta acusando de cosas que s... ",0
"De regreso al trabajo. En cancha para Univisión Deportes en el América vs Veracruz.  Se acabó hasta la melena güera. Ahí nos escuchamos, hermanos  :raising_hands:  :light_skin_tone:  ",0
" yo se q soy la persona indicada para estos momentos, no te lo mereces, pero sos mi hermano hijo de mil puta, ahi t hablo",0
"Hablemos de la paliza al turista americano por manteros subsaharianos , esos que entran echando cal viva a la guardia civil  ... no mejor volvemos a lo de Franco que fue muy malo y evitó muchas checas y gulags si no llega a levantarse en esa anárquica España #l6nveranofranco",1
 Callate que vos ni rollos tienes che puta,1
Quieroite un lomito arabe com salsa de ajo,0
La introducción de los discursos de disculpa de los acusados de acoso sexual este año: ,0
"En este país, lo que hay que hacer de una puñetera vez, es que todo ilegal (sin papeles) sea deportado a su país de una vez. Ya vale de tanto buenismo y ayudas a inmigrantes antes que a los propios Españoles. ",1
"Llegarán en masa a Cartagena. De nosotros y nuestros gobernantes depende dar con la verdadera solución natural, los #camposdeautogestión de refugiados  o dar paso a una invasión en toda regla en nuestras calles y la confrontación social de extremistas ",1
una chica dijo que no le gustaron los chistes sobre acoso y violación en el video de Rubén y esto le contestaban algunos de sus fans ,0
La zorra se queda callada porque sabe que mi combo es puro power  :fire: ,1
 comemela hso y si cojemos ahi nomas no pasa nada ahre,0
 Cállate que la que clava el visto sos vos Zorra  :broken_heart: ,1
 comemela lindo JAJAJA,0
"No son subsaharianos, son Negros. Que yo sepa, Sudán y Níger están en el Sáhara. #FronterasSeguras",1
El inmigrante que se queja del inmigrante que se queja del inmigrante ... y así hasta el infinito. ,0
"Te puedo tener todo el respeto del mundo, pero esque con una puta voz que me des ya no te lo mereces. Entenderlo respeto por respeto.",0
El asesinato se hace en nombre del Antifascismo. Imbeciles como tú  hacen que esta escoria crezca. ,0
  Cállate zorra priista,1
Mira  en un futuro busca trabajos en los que te quieran pORQUE NO MERECES ESTA PUTA MIERDA DE TRATO,0
"Transparencia Venezuela Cuando un indocumentado pasa de reposero y chocador de autobuses del metro a """"manejar"""" la política económica del país que hugo chávez ya había destruido, tenemos el resultado de la Vzla completamente destruida.",1
"Ultra pendeja este ciudadano común, teatro le bajo pelotudis, esposelo y 6 horas al calabozo..   Vago indocumentado... ",1
Brigada humanitaria lleva agua a inmigrantes que cruzan desierto ,0
"Muchas personas creen q una mujer es abusada o acosada por ir muy descubierta, pero yo he visto acoso a mujeres por lo contrario también, mujeres cuya religión o creencias son otras y son acosadas por eso. Eso demuestra q hay un standard tácito d mujer, y q se espera sea cubierto",0
JACKIE Y HYDE MERECIAN ESTAR JUNTOS LA PUTA MADRE QUIERO ROMPER TODO,0
"Reino Unido cero cristianos entre los 1,112 sirios """"refugiados"""" reubicados en esd pais en lo que va de año, en 2017 solo reibicaron a 11. Una clara predisposición a favor de supremacistas fundamentalistas islámicos. Absurdo y suicida. ",1
¡BUENO Y TU ERES UNA PUTA ARRASTRADA! Laidy Gómez cargó contra Guanipa y lo tachó de 'divisionista'  vía ,1
" Y por qué el.peor insulto que se te ocurre contra una mujer es puta?? Es mucho peor ser violador y/o asesino. Siendo putas sólo perdemos nosotras... Pero, ahí está, el machismo cultural. 'Eh, q yo no soy racista, q tengo un amigo negro'.",0
Del árbol del silencio pende el fruto de la seguridad-Proverbio Árabe,0
cuando no tengo a nico mi novia es mi perra ,1
"Estoy FLIPANDO. Le estaba diciendo a este chico que mi padre pegaba e insultaba a mi madre, que tiene dos denuncias por violencia de género y órdenes de alejamiento y se puso a decirme que él jamás pensaría que la mujer tiene razón, que si eso me pasó a mí es porque soy árabe ",1
El acoso sexual empieza a destaparse en la industria musical: poderoso magnate acusado de violación por varias ... ,0
"Estoy haciendo el check-in a una muchacha de los Emiratos Árabes. Ella: ese tatuaje es árabe, ¿no?  Yo: sí  :fearful_face:  (yo pensando pa dentro: por Dios y por Alá que el significado sea lo que yo quería  :anxious_face_with_sweat: ) Ella: es tal (una palabra rara en árabe) Yo:  :face_with_raised_eyebrow:  Me la dice en inglés y yo: ¡Sí!  :grinning_face_with_sweat: ",0
"No puedo con lo que dice la canción de ‘que perra mi amiga’: y tú eres perra, ládrame  :face_with_tears_of_joy: ",1
 No todos tenemos tus mañas zorra,1
 Deja de provocarme maldita perra,1
Joder Nagore cállate de una puta vez pesada de los cojones ay dios la odio por qué tan tonta diooos espero que no me denuncie y vaya a la cárcel por esto Nagore vete a llorar al Deluxe por tu nariz #myhyv,0
"Pregunta para la izquierda. Esta es para nota.  Si abrimos las fronteras indiscriminadamente y sin control, y un inmigrante agrede a una mujer, inmigrante también, con la que está en una relación sentimental, ¿cómo se le localiza para citarle a juicio después de la agresión?",1
"Que cuza antes la calle, una mujer inteligente o una tortuga vieja? Una tortuga vieja porque las mujeres inteligentes no existen ...",1
"Pero imbecil, no ves que no haces reir a nadie jala bolas, callete quedate como muerto escoria ",0
" CÓMO QUE TE FOLLAS A UNA PERRA Y OLVIDAS SU NOMBRE:0 Sí, bebé, me gusta mucho tu inglés, podrías enseñarme un poco",1
  la educación sexual también es aprender que las mujeres con polla existen y son víctimas de violacion... Violan los hombres no las pollas.,0
Cómo supero Arabe.,0
Temon Árabe  :clapping_hands: ,0
" Estudiante Sueca Elin Ersson, Impide Deportación De Un Solicitante De Asilo Afgano ",0
"Mierda,mierda y solo mierda viene de África, único sitio para recoger, toda esa basura, musulmono africana. ",1
"Cállate puta, zorra, borracha, drogadictaaa.",1
"hola tengo el hc de que hinata es mitad irlandés, que tsukki es mitad franchute y yamaguchi mitad latino &gt;&gt;&gt; i'm in drugs",0
" O el de los flacos cuando te vienen a decir de todo, o sea, si tu novia es una zorra problema de ustedes no mio...",1
    Callate puta,1
"La falsa portada de la falsa revista dice Pop Singer. Puta, ¿no hubo imaginación ni para inventarse un nombre que rimara con Britney Spears? ¿Linsdsay Steers, Whitney Beers, Shitney Shits?",0
Msdossary CAMPEÓN del Mundo de FIFA 2018. Stefano Pinna no pudo hacer nada ante el árabe. Resultado totalmente merecido. #FIFAeWorldCup,0
¿Qué actor pudo ser un gran #Aquaman güero en el Universo Extendido de DC? Checa nuestro video y entérate de nuestras opciones  :television:  :clapper_board:  :film_frames: ️:https://t.co/BkJqSPu3Bv ,0
  :face_screaming_in_fear:  noo callate perra que estoy buscando algo para poder dormir jajaj,1
"Uno de los refugiados del Aquarius: """"Me obligaron a violar a menores y animales durante meses"""" (Al final los más racistas y esclavistas son otros africanos. Por eso hay que solucionar el problema un situ. Si no las mafias ganan)   vía ",1
Hay racismo cuando no creen que soy su hermana porque soy güera   ,1
Si lo que esta sosa busca es provocar lo consigue. Es muy zorra. ,1
igual posta odio los pies capaz tenes pie feo y me jodes apoyandomelo en la cara y te pego un hachazo,0
Más residentes en Emiratos Árabes aseguran luchar para llegar a fin de mes ,0
    Cállate Perra mal parida de Juan y kim no hables :angry_face:  :pouting_face:  :pouting_face: ,1
I liked a  video  Francisco Tárrega - Capricho árabe,0
"Lo primero que hace Sanchez dar mas cobertura y mas medidas a la inmigración ilegal, enseñanza en árabe bajada del tiempopara nacionalizarse mirar a otro lado con los cada dia mas agresivos manteros etc.",1
Los que asaltaron la valla de Ceuta con lanza-Llamas y con cal viva  ¿ También son victimas ,1
"―Confundes reina con zorra, pf. Cállate antes de que te arranque la peluca.",0
"  Te mereces quedarte sin nada¡Tu crees que si a la mujer que yo quiero le llamaran puta yo no me iba a levantar....Y ADEMAS QUE MAS DA ,SU TRABAJO ,VAMOS A VER,ERES UN COBARDE Y UNA MIERDA DE TIO,Que decepcion...mas vale quedarte",0
"es una puta gilipollez alarmarse asi, enserio que hay de malo? no esta desnuda no tiene nada que enseñar, por que tanto revuelo? Para eso puedes poner ropa a tu pj si tanto te molesta verle 'desnudo' un poquito de logica",0
Que lindo es poder escuchar música árabe con alguien que también le gusta,0
" Ya ni me hables de esa escoria, aunque no todos son malos.",0
   Tu no te mereces q yo me esfuerce en poner ni una #puta coma para q te ahogues al leer #bastardo,0
"  Bobo hijo de perra, usted cree que va a enseñarle a Messi o llega a aprender del más grande?",0
 comemela tu a mi mamon XDDDD,0
"La mina también bastante puta. Onda, la que esta de novia es ella no el  :person_gesturing_OK:  :person_gesturing_OK:  ",1
Me voy de viaje con unos tíos de mi papá y solo hablan en árabe :sleeping_face:  :sleeping_face:  :sleeping_face:  :sleeping_face:  :sleeping_face:  :sleeping_face: ,0
Hola soy TraedRuffles tu novia es una puta me acabo de pasar el Tekken con Casemiro reídme las gracias por favor,1
"Desbloqueme, dale zorrita. Sabes por qué te cagué a palo? Por puta, te merecías la cagada a palo' Lo que uno tiene que escuchar en la calle",1
  Tu eres mio puta y te callas cabron,0
